COLU;Columbia/Barnard
OSU;Ohio State University
STJ;Princeton University
ND;Notre Dame
PSU;Pennsylvania State University
HARV;Harvard University
PENN;Pennsylvania, University of
DUKE;Duke University
NJIT;NJ Institute of Technology
STAN;Stanford University
NW;Northwestern University
NYU;New York University
WAYN;Wayne State University
CORN;Cornell University
TEMP;Temple University
YALE;Yale University
UCSD;U.C. San Diego
SACR;Sacred Heart University
BC;Boston College
UNC;UNC, Chapel Hill
USAF;U.S. Air Force Academy
BROW;Brown University
UIW;University of the Incarnate Word
LAWR;Lawrence University
MIT;M.I.T.
FDU;Farleigh Dickinson University
UDM;University of Detroit Mercy
VAS;Vassar
